Persona_ID,Model,Temperature,Prompt_Strategy,Confidence,Entropy
user_11,qwen,0.7,cot,low,0.38587394752485793
user_04,qwen,0.7,cot,high,0.3948440089801042
user_01,qwen,0.7,cot,high,0.22740602137034716
user_08,qwen,0.7,cot,high,0.3200264302707148
user_14,qwen,0.7,cot,low,0.33568692372966097
user_02,qwen,0.7,cot,high,0.2574677840122294
user_07,qwen,0.7,cot,high,0.2646064917817925
user_12,qwen,0.7,cot,low,0.3043659368117685
user_15,qwen,0.7,cot,low,0.2027754664561545
user_09,qwen,0.7,cot,high,0.14540920882488464
user_05,qwen,0.7,cot,high,0.3063955835314159
user_10,qwen,0.7,cot,high,0.19514795685421812
user_13,qwen,0.7,cot,low,0.31442856738842573
user_06,qwen,0.7,cot,high,0.21969518419111106
user_03,qwen,0.7,cot,high,0.3293186384037349
user_11,gemini2.5pro,1.0,cot,low,0.209842010279843
user_04,gemini2.5pro,1.0,cot,high,0.10159047035561398
user_01,gemini2.5pro,1.0,cot,high,0.2101641569576168
user_08,gemini2.5pro,1.0,cot,high,0.027304494989387595
user_14,gemini2.5pro,1.0,cot,low,0.2635972502376814
user_02,gemini2.5pro,1.0,cot,high,0.22849859049175802
user_07,gemini2.5pro,1.0,cot,high,0.042964988448333866
user_12,gemini2.5pro,1.0,cot,low,0.11165310093227124
user_15,gemini2.5pro,1.0,cot,low,0.4007346561050823
user_09,gemini2.5pro,1.0,cot,high,0.107719936581066
user_05,gemini2.5pro,1.0,cot,high,0.3009643758037262
user_10,gemini2.5pro,1.0,cot,high,0.034932004591323985
user_13,gemini2.5pro,1.0,cot,low,0.30498086773223126
user_06,gemini2.5pro,1.0,cot,high,0.027304494989387595
user_03,gemini2.5pro,1.0,cot,high,0.18042454099350833
user_11,gpt4o,0.2,zero,low,0.13652247494693798
user_04,gpt4o,0.2,zero,high,0.25101617110900365
user_01,gpt4o,0.2,zero,high,0.12487847341649665
user_08,gpt4o,0.2,zero,high,0.09355748649860411
user_14,gpt4o,0.2,zero,low,0.1754709714667669
user_02,gpt4o,0.2,zero,high,0.18711497299720822
user_07,gpt4o,0.2,zero,high,0.06625299150921651
user_12,gpt4o,0.2,zero,low,0.09757397842710905
user_15,gpt4o,0.2,zero,low,0.0738805011111529
user_09,gpt4o,0.2,zero,high,0.027304494989387595
user_05,gpt4o,0.2,zero,high,0.2144194679865958
user_10,gpt4o,0.2,zero,high,0.11323447188605533
user_13,gpt4o,0.2,zero,low,0.23409645337404703
user_06,gpt4o,0.2,zero,high,0.06223649958071157
user_03,gpt4o,0.2,zero,high,0.20521058743087536
user_11,gemini2.5pro,0.2,zero,low,0.20010152638095954
user_04,gemini2.5pro,0.2,zero,high,0.10646071230505572
user_01,gemini2.5pro,0.2,zero,high,0.1820059119472924
user_08,gemini2.5pro,0.2,zero,high,0.07120656103595795
user_14,gemini2.5pro,0.2,zero,low,0.2640455260035447
user_02,gemini2.5pro,0.2,zero,high,0.13904092349895858
user_07,gemini2.5pro,0.2,zero,high,0.0478352303977756
user_12,gemini2.5pro,0.2,zero,low,0.11007172997848715
user_15,gemini2.5pro,0.2,zero,low,0.3445736576076077
user_09,gemini2.5pro,0.2,zero,high,0.027304494989387595
user_05,gemini2.5pro,0.2,zero,high,0.15831243463133624
user_10,gemini2.5pro,0.2,zero,high,0.015660493458946267
user_13,gemini2.5pro,0.2,zero,low,0.26225469838437143
user_06,gemini2.5pro,0.2,zero,high,0.011644001530441327
user_03,gemini2.5pro,0.2,zero,high,0.16476404753456206
user_11,gpt4o,0.2,cot,low,0.1951479568542181
user_04,gpt4o,0.2,cot,high,0.3093195063385099
user_01,gpt4o,0.2,cot,high,0.2863536499554011
user_08,gpt4o,0.2,cot,high,0.11047720423356067
user_14,gpt4o,0.2,cot,low,0.35549003820520175
user_02,gpt4o,0.2,cot,high,0.36912088494450074
user_07,gpt4o,0.2,cot,high,0.05460898997877519
user_12,gpt4o,0.2,cot,low,0.2172600632163902
user_15,gpt4o,0.2,cot,low,0.269028457965371
user_09,gpt4o,0.2,cot,high,0.042964988448333866
user_05,gpt4o,0.2,cot,high,0.31726916261822
user_10,gpt4o,0.2,cot,high,0.015660493458946267
user_13,gpt4o,0.2,cot,low,0.2662711903128764
user_06,gpt4o,0.2,cot,high,0.07789699303965786
user_03,gpt4o,0.2,cot,high,0.2573844564349297
user_11,qwen,0.2,zero,low,0.08592997689666772
user_04,qwen,0.2,zero,high,0.08592997689666773
user_01,qwen,0.2,zero,high,0.042964988448333866
user_08,qwen,0.2,zero,high,0.034932004591323985
user_14,qwen,0.2,zero,low,0.101590470355614
user_02,qwen,0.2,zero,high,0.06625299150921651
user_07,qwen,0.2,zero,high,0.07026948343772146
user_12,qwen,0.2,zero,low,0.12487847341649665
user_15,qwen,0.2,zero,low,0.06264197383578507
user_09,qwen,0.2,zero,high,0.0
user_05,qwen,0.2,zero,high,0.0742859753662264
user_10,qwen,0.2,zero,high,0.031320986917892535
user_13,qwen,0.2,zero,low,0.09757397842710905
user_06,qwen,0.2,zero,high,0.07026948343772146
user_03,qwen,0.2,zero,high,0.0738805011111529
user_11,qwen,1.0,zero,low,0.2120676745891747
user_04,qwen,1.0,zero,high,0.3397034156581659
user_01,qwen,1.0,zero,high,0.2224524518436057
user_08,qwen,1.0,zero,high,0.12086198148799171
user_14,qwen,1.0,zero,low,0.2963329529547587
user_02,qwen,1.0,zero,high,0.31239892066877833
user_07,qwen,1.0,zero,high,0.1678434618648305
user_12,qwen,1.0,zero,low,0.19916444878272305
user_15,qwen,1.0,zero,low,0.29673842720983207
user_09,qwen,1.0,zero,high,0.09355748649860411
user_05,qwen,1.0,zero,high,0.2846889514243173
user_10,qwen,1.0,zero,high,0.1642324441913991
user_13,qwen,1.0,zero,low,0.2027754664561545
user_06,qwen,1.0,zero,high,0.10520148802904543
user_03,qwen,1.0,zero,high,0.27746691607745444
user_11,gemini2.5pro,0.2,cot,low,0.2166157698608426
user_04,gemini2.5pro,0.2,cot,high,0.1273135943912175
user_01,gemini2.5pro,0.2,cot,high,0.20898826025890627
user_08,gemini2.5pro,0.2,cot,high,0.06349572385672186
user_14,gemini2.5pro,0.2,cot,low,0.22732269379304743
user_02,gemini2.5pro,0.2,cot,high,0.2639193969154552
user_07,gemini2.5pro,0.2,cot,high,0.08560783021889394
user_12,gemini2.5pro,0.2,cot,low,0.14265194117238997
user_15,gemini2.5pro,0.2,cot,low,0.36287872870666404
user_09,gemini2.5pro,0.2,cot,high,0.08560783021889394
user_05,gemini2.5pro,0.2,cot,high,0.20159956975744392
user_10,gemini2.5pro,0.2,cot,high,0.03375610789261341
user_13,gemini2.5pro,0.2,cot,low,0.2699655355636075
user_06,gemini2.5pro,0.2,cot,high,0.027304494989387595
user_03,gemini2.5pro,0.2,cot,high,0.14540920882488462
user_11,gemini2.5pro,1.0,zero,low,0.15303671842682104
user_04,gemini2.5pro,1.0,zero,high,0.12329710246271257
user_01,gemini2.5pro,1.0,zero,high,0.2516311020294663
user_08,gemini2.5pro,1.0,zero,high,0.062319827158011286
user_14,gemini2.5pro,1.0,zero,low,0.25430504210466126
user_02,gemini2.5pro,1.0,zero,high,0.16115302986113064
user_07,gemini2.5pro,1.0,zero,high,0.04540010942305473
user_12,gemini2.5pro,1.0,zero,low,0.1686972118857673
user_15,gemini2.5pro,1.0,zero,low,0.35549003820520164
user_09,gemini2.5pro,1.0,zero,high,0.04422421272434415
user_05,gemini2.5pro,1.0,zero,high,0.24022591959949907
user_10,gemini2.5pro,1.0,zero,high,0.034932004591323985
user_13,gemini2.5pro,1.0,zero,low,0.2362094276709941
user_06,gemini2.5pro,1.0,zero,high,0.03777259982111834
user_03,gemini2.5pro,1.0,zero,high,0.09883320270311932
user_11,qwen,0.2,cot,low,0.21803048566002725
user_04,qwen,0.2,cot,high,0.32055803361387775
user_01,qwen,0.2,cot,high,0.14540920882488464
user_08,qwen,0.2,cot,high,0.23048543570061558
user_14,qwen,0.2,cot,low,0.2220469775885322
user_02,qwen,0.2,cot,high,0.15303671842682104
user_07,qwen,0.2,cot,high,0.1361170006918645
user_12,qwen,0.2,cot,low,0.18711497299720822
user_15,qwen,0.2,cot,low,0.17948746339527183
user_09,qwen,0.2,cot,high,0.07789699303965784
user_05,qwen,0.2,cot,high,0.25981957740965056
user_10,qwen,0.2,cot,high,0.14013349262036942
